Group,PRJNA529794_logFC,PRJNA529794_logCPM,PRJNA529794_LR,PRJNA529794_PValue,PRJNA529794_gene_names
group_100,1.42375146196384,8.12697856528798,6.86498850341486,0.00879008135978457,AT2B2|AT2B4|AT2B1|AT2B3
group_10001,-2.50329460304914,5.85621966466023,4.0685222691196,0.0436894792189484,CBX1
group_10003,-2.12985656508871,5.70955128539297,4.55985755147356,0.0327297955792573,FN3K
group_10004,3.80461866608932,8.06113492504459,13.9103645065279,0.000191738241042589,RM21
group_10010,1.95943787353743,7.79580112572541,5.09055274600925,0.0240565228973109,UBXN1
group_10014,1.67447598523964,6.54519673010771,3.21883300964351,0.0727955101746693,OSCP1
group_10017,1.94404283540406,7.08870685099208,3.92535507355399,0.0475631452199177,RM09
group_10019,1.23182407405376,9.76528947927312,6.17525869654012,0.0129548967282233,RL27
group_10021,-4.71946492215015,5.32734148823269,11.2113511038415,0.000812985068832787,SNP29
group_10022,2.849054049617,7.36493630001109,11.0188151654463,0.000901917017963986,PAK3
group_10024,-3.05339591683697,5.29780369143657,12.1315423177255,0.000495761017909673,OGDHL
group_10031,3.02550206891485,7.62313203847879,9.41781415909995,0.00214887520508773,MED27
group_10032,-1.37772498687328,5.30218856970482,2.99268222084672,0.0836415215834328,RM54
group_10034,-2.09504071563523,4.9513850365103,2.79038982947959,0.0948311555012063,WDR43
group_10046,-1.48662708287251,7.3346414365272,2.97153405324665,0.0847414606422343,PRAF3
group_10051,-3.58410088346201,5.63014364256375,10.2059110260249,0.00139991219162058,ACBG1
group_10053,2.01275168041243,7.39638482792076,10.0050614613579,0.0015611058132063,GPR22
group_10055,1.16206593432174,5.21980727794636,2.85032102510293,0.0913556931629881,CEP83
group_10058,-2.82473042995167,5.7158939686479,8.11881705756393,0.0043808135054484,ES8L3
group_10059,-3.2216668834196,4.63239595715776,4.99386075132205,0.0254373936746066,CATH
group_10061,-1.42589988373677,6.25668437825839,4.06155318152925,0.0438701310383573,ERGI1
group_10062,-2.64542255751243,6.38907929197633,5.26900830663783,0.0217083762397266,MGAT3
group_10063,1.04796727878004,9.83876322888034,3.46026050646378,0.0628604106157707,RS16
group_10069,1.81741929634287,9.83400977226743,11.1237422877897,0.000852296495988207,PARK7
group_10072,-1.96802456329299,7.25641999890851,7.90936777689726,0.00491794540010861,DHE3
group_10073,1.35116472351295,5.71319493909602,6.55450321602462,0.0104619043945483,MAPK2
